ProposedIndex,IIHH,Shannon,Size,AssetTurnover,Debt,QuickRatio,CashHoldings,ROE,ROI,ROA
0.2663,1.0863,0.1726,18.1674,0.74,0.39,0.52,0.0547,0.23,0.1515,0.1496
0.4475,1.2447,0.3476,18.387,0.77,0.41,0.85,0.11,0.14,0.1708,0.0871
0.379,1.2157,0.3216,19.3845,0.56,0.48,0.49,0.111,0.11,0.1301,0.0666
0.5751,1.3953,0.4572,15.0277,1.24,0.16,0.12,0.0345,0.0336,0.1115,0.0208
0.5105,1.2598,0.3603,15.2943,1.22,0.15,0.25,0.0786,0.0519,0.0721,0.0317
0.5324,1.3011,0.3931,15.4633,1.46,0.11,0.2,0.0412,0.07,0.139,0.0491
0.4499,1.2059,0.3123,18.1839,0.67,0.59,0.0736,0.0358,0.0791,0.0002,0.0318
0.4854,1.2566,0.3836,18.1447,0.7,0.81,0.0907,0.0309,-0.0381,0.0021,-0.0131
0.5127,1.2774,0.4177,18.0258,0.87,1.17,0.0842,0.0265,-0.0847,-0.0188,-0.0284
1.0792,2.805,1.1743,19.0892,1.22,1.32,0.3006,0.0757,0.1335,0.1251,0.0424
1.139,2.6028,1.2245,19.4081,1.23,0.88,0.2787,0.072,0.0921,0.1095,0.0364
1.1548,3.3201,1.2802,19.6722,0.84,1.64,0.2968,0.0707,0.0254,0.1016,0.0074
0.61,1.5225,0.5269,18.0561,1.46,1.31,0.19,0.08,0.14,0.1556,0.05
0.6591,1.6507,0.5833,18.1338,1.32,0.71,0.4,0.08,0.027,0.078,0.012
0.6717,1.7001,0.6022,18.3406,1.06,1.08,0.11,0.03,0.1,-0.0388,0.04
0.9482,2.8986,1.2032,16.3001,1.14,1.24,0.3714,0.0788,0.0347,0.104,0.01
1.3699,4.0193,1.4737,17.3449,0.77,1.33,0.1782,0.0374,0.0902,0.0814,0.0312
1.16,2.9291,1.2097,17.2881,1.07,1.53,0.1205,0.0388,0.1017,0.1094,0.0271
