AssetTurnover,Debt,QuickRatio,CashHoldings,ROA
0.74,0.39,0.52,0.0547,0.23
0.77,0.41,0.85,0.11,0.14
0.56,0.48,0.49,0.111,0.11
1.24,0.16,0.12,0.0345,0.0336
1.22,0.15,0.25,0.0786,0.0519
1.46,0.11,0.2,0.0412,0.07
0.67,0.59,0.0736,0.0358,0.0791
0.7,0.81,0.0907,0.0309,-0.0381
0.87,1.17,0.0842,0.0265,-0.0847
1.22,1.32,0.3006,0.0757,0.1335
1.23,0.88,0.2787,0.072,0.0921
0.84,1.64,0.2968,0.0707,0.0254
1.46,1.31,0.19,0.08,0.14
1.32,0.71,0.4,0.08,0.027
1.06,1.08,0.11,0.03,0.1
1.14,1.24,0.3714,0.0788,0.0347
0.77,1.33,0.1782,0.0374,0.0902
